P,A,B,C
100,0.00262403488159,0.000131845474243,0.000168085098267
500,0.00508594512939,0.000350952148438,0.000813007354736
1000,0.0211138725281,0.000489950180054,0.00110793113708
5000,0.0385978221893,0.00284790992737,0.00371694564819
10000,0.145790100098,0.00330781936646,0.00499200820923
20000,0.473551988602,0.00461506843567,0.00627279281616
30000,1.02235484123,0.00681710243225,0.00709509849548
40000,1.8306620121,0.00648999214172,0.00853514671326
50000,2.83316707611,0.00788807868958,0.00805497169495
60000,4.04994487762,0.0126428604126,0.00988411903381
70000,5.51139211655,0.0119731426239,0.00910592079163
80000,7.21846389771,0.0143811702728,0.0109419822693
90000,9.12248396873,0.015114068985,0.0104100704193
100000,11.2451999187,0.015310049057,0.0116589069366
