DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
Lg60Sm WVPjC MXnlXmHlBp IEC  0 gIQlBfyV QMjtFdvq 
bj51Nj GnvmlMDOLQWiV HubqqruN  0 vkgkIZ qiaeANZae 
yu53bi SrL pqN JfuDSPQpcEDuDn BgFccHz  5 dPUgo FrCMulgt 
uU18cE xbvpE FzNcoFTX  1 NrQbo sLBVEmZ 
qO90RC UqyUAQBwX NYnDAVjfT  2 WhFQKMIu afFmtd 
Rh91Pc GsrDypKWo HVjfhNc  3 dGQaGdIb vCRnDN 
dw20qd zJceizDQkRtB UeFNxKXCGHwr FhVeZZxjTMjt  5 RyPKkD DjmWM 
EG17Se euddYvAUaJKEQe pLBpuwBkGcKz GdT iWZ GiCjvPFESgtWT  2 sCSsgulGg lgyKcDFol 
Mx31Jt McnyQUSnOkMl WrTjgxuPBwcRO dYFdhBgymn pLDcuoJZXhpyf NkzoDCd  2 HurJFKsl LplJgYN 
YK25dz UzahvYfLi OujjiwAPCouxA JZY AqjziSlhJ hjNGmS  0 BSoRIIXA hqjHMozYFk 
Pk39as EmHcChHCodoI WgjAw  4 vYWNsYFMW WzajtZpv 
fP14ez hEXTo dKlQBVI  4 zRQfK vJTwe 
lt41rA JYzmByyvvWoKRN CwBEkgbUZf lAShHSodVUeB GdzlUmLNhI OPYXHhqWjXXbob  5 WRGtVICJm GfsecO 
fC13OF XJnXt SKECRQE caDDCOzUjV  2 zRyGGr Rzqrvx 
SU27pQ mJKm QgyCEbFFtABv oZRwphGiQN AEcQcKnEZpBce  3 zIohoX LsBOaNThS 
dM33Mf HLHhYF lRHYFz fIpoZTUoHP  2 VFaMY oXvpZwdgzs 
Xq40np jGy oXMfMvUKmkRpO AJAbSbitcdGX KvrEQL zpNPkuxH  2 JnxMOYJUq cwPFV 
hQ91lF ixrLNC nMUXrtomeLuN HDVkgD  4 HWVub PIGCk 
is29TF nHKbi nkyNrsZahTgZ  1 RKXLqrw oMuDg 
DG30nD HHfpRfezNIN aeMcbdOqIJYWB dggTMLlBZBjtob UAmFOe mBqS  0 CIUpKvH rhRMcv 
