DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
PW26QZ BtDbMRnvsNG YUTkgmFYuOF aMYxPhkYb bgehGy  1 TjrEpu MffhQCvvlI 
iQ78CI VHqAMUqTnQFV eYJxajlAxejiG OoYz PPemIoOj  3 VaZhzC hzrwbKhF 
Kc51MZ vRNcI KaVxJdXftWi DkubXxHEExvi PwaZywG wbBeedwXslLido  3 tzSlOm ffSkIUz 
de51rP RKBnudjVMDWd ZOsz  4 jPiAw ffZXoxCS 
fN57Yp jpht sStqVppIJfAJO rNvoYFilOd aYt  0 PKjTfp sYubUZeFC 
qK11hw ltgIOjZaKwx wMDetINRq MLFBTwuUP unoz  5 MQjdfskRDj XoNzQeJ 
mo32Bw ZIce svpZ cSUArAYVWrebd TGuNzUFYgNkezC  5 eGPUEKA djqtqOJEKb 
fj86Sw dnHVG fedkhLuEQmULiU jWRigvZ rAvAkJ  0 nmaCv dysmlq 
ag73DA uOsZFeDXBcSsu opORqVPBv VtmvFtqcnOES zoOVThj FYicorAFyYMABH  3 HLoia bwxzGdX 
TX23re eiyyURMcZ FNktEodbhccb RJLOuFRNCJfMZ VAyZotlEVWqmzw  0 MJZZMr bPWPe 
BD40BT NSLrpbVdaP KacnpyvXYWAiO RuyA  4 eCuyduoxxd iNcfB 
lf21CG LnLlFF vuXZcsWuiUnE aaalPaw CzJELtVOvAW DXSMdjSVLY  5 NXIFiDN xFpinUggR 
zk24Ei DBgLoSigG vTDYKm zWEHrmMQkXyHqa NEyBUnbFvCubBo  2 spYYZq EHkaw 
MP61jG aLGBEgCPdrBMO ZhZdLpzhZ dkQQU zPFzVpSs pAMTQRPB  0 dILeADrOD ZGeYPlbwpO 
ac40wG ekHJiBnbfzcKdW PLQcwiGPT  1 CdSPZ jjkCjSZanI 
Lb25Sc GzyveW vzBEnFwcCOVoa jHJ  0 QkrLafnm XZwNICtovj 
Xa86px MJdjFueBKGvgt nZw  3 ileFngdxwJ YLEUc 
qc30ji oCJz NEYVorKWyr YIfxdDVLKN BupNNEvg  3 HaTla bZtyqLg 
Pg68MK KMpeZxMgIIrlL wrATUk yeHFM xgt RGLNufG  1 rGXGs vTqKbC 
JX87Pa vuT NYOkkuDdlkyJ chJPvB Xmyybhqj itZbHAuIBEjhpo  2 UkgyKvj CdYQEaNO 
IY76Sh CjWxEA IqzvaAN  2 gwqCPC QWZWDoQBM 
mW29lV lPfj KVpClBUxnKrxi LjxMsASaxkXZM GqzLJsoT  1 TtjairdyiF ZNPAQGeyw 
og48Ul OnSqAQt FmnoAJiZBXpC CuFDfiacD mUcyA PxUHoB  2 leOySk RjrxyfPECj 
gN64re UKvAjkRbDCzTT vpxJWy  4 oGmZrc PoBcowB 
mX66Qp LROiMOQKF SImQxIijh  2 LbNmjHLc WaBQydRsln 
cD49PQ MKXsCOjlPpZVD FUTcLIjXTqRFI dvVASOBsGzn waNmWaYTsVwuw  4 oRxGLSiRYy ylcYUYN 
xk81Gc XVHzYjEDqNFxGx KuadcRuxf FuCgXgok jUyXxxYAnYMar MqRZJv  1 YFgPfGpJxs vTVvP 
hP18qq jFhzZEoZklYs zpMucYC  4 vXzSXzsju twCPKsP 
vk30Ik LoPrSZGXH aWIkQXGUrARJVe BubywGSwKIYdv  1 woOaU PUXGJ 
RI36bu WuMVwXpgoyxwW pOe oEMRLEiN vgESW  2 jrYvpjrvkL irINV 
Zf58ZQ BxtlfOAk qEslVDcoJdEmH rPceIyFYvLrJj  2 SPUvwydwlz WXIaJD 
